repeat,task_id,task_name,sample_id,raw_output,parse_success,is_valid,unique_key,unique_method,parse_failure_reason
2,tree,Tree,47,LLM_ERROR: The read operation timed out,False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：invalid syntax (<unknown>, line 1)"
2,tree,Tree,48,LLM_ERROR: OpenAI 网络请求失败：_ssl.c:1000: The handshake operation timed out,False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：invalid character '：' (U+FF1A) (<unknown>, line 1)"
2,tree,Tree,98,LLM_ERROR: The read operation timed out,False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：invalid syntax (<unknown>, line 1)"
2,cycle,Cycle,16,"(15, [(0,1), (1,2), (2,3), ..., (13,14), (14,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
2,cycle,Cycle,19,LLM_ERROR: The read operation timed out,False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：invalid syntax (<unknown>, line 1)"
2,planar,Planar,3,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0), (0,5), (1,6), (2,7), (3,8), (4,9), (10,14), (11,0), (12,1), (13,2)])",True,False,,isomorphism,
2,planar,Planar,4,"(15, [(0,1),(1,2),(2,3),(3,4),(4,0),(5,0),(6,1),(7,2),(8,3),(9,4),(10,0),(11,1),(12,2),(13,3),(14,4),(0,2),(1,3),(2,4),(3,0),(4,1),(0,3),(1,4),(2,0),(3,1)])",True,False,,isomorphism,
2,planar,Planar,5,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0), (0,3), (3,6), (6,9), (9,12), (1,4), (4,7), (7,10), (10,13), (2,5)])",True,False,,isomorphism,
2,planar,Planar,6,LLM_ERROR: The read operation timed out,False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：invalid syntax (<unknown>, line 1)"
2,planar,Planar,12,"(15, [(0,1), (1,2), (2,3), (3,4), (4,0), (5,6), (6,7), (7,8), (8,9), (9,5), (0,5), (10,11), (11,12), (12,13), (13,14), (14,10), (0,10), (1,6), (2,7), (3,8), (4,9), (1,11), (2,12)])",True,False,,isomorphism,
2,planar,Planar,13,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,0), (7,8), (8,9), (9,10), (10,7), (0,7), (1,8), (2,9), (3,10), (0,11), (11,12), (12,13), (13,14), (14,0), (7,11), (4,12), (6,13), (5,14)])",True,False,,isomorphism,
2,planar,Planar,14,"(15, [(0,1), (1,2), (2,3), (3,4), (4,0), (0,5), (1,6), (2,7), (3,8), (4,9), (0,10), (1,11), (2,12), (3,13), (4,14), (5,6), (6,7), (7,8), (8,9), (9,5), (10,12), (12,14), (14,11), (11,10)])",True,False,,isomorphism,
2,planar,Planar,15,"(15, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11), (11, 12), (12, 13), (13, 14), (14, 0), (0, 3), (3, 6), (6, 9), (9, 12), (1, 4), (4, 7), (7, 10), (10, 1",True,False,,isomorphism,
2,planar,Planar,17,"(15, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8),(8,9),(9,0),(0,10),(10,3),(3,11),(11,6),(6,12),(12,9),(9,13),(13,2),(2,14),(14,7),(1,6),(2,7),(4,9),(5,0)])",True,False,,isomorphism,
2,planar,Planar,18,"(15, [(0,1),(1,2),(2,3),(3,4),(4,0),(5,6),(6,7),(7,8),(8,5),(0,5),(1,6),(2,7),(3,8),(4,9),(0,10),(5,11),(1,12),(6,13),(7,14),(2,10),(4,11),(8,12),(3,13),(9,14)])",True,False,,isomorphism,
2,planar,Planar,19,"(15, [(0,1), (1,2), (2,3), (3,4), (4,0), (0,5), (1,6), (2,7), (3,8), (4,9), (0,10), (1,11), (2,12), (3,13), (4,14), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14)])",True,False,,isomorphism,
2,planar,Planar,20,"(15, [(0,1), (1,2), (2,3), (3,4), (4,0), (5,6), (6,7), (7,8), (8,9), (9,5), (6,0), (7,1), (8,2), (9,3), (10,4), (10,11), (11,12), (12,13), (13,14), (14,10), (12,10)])",True,False,,isomorphism,
2,planar,Planar,22,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0), (0,3), (3,6), (6,9), (9,12), (1,4), (4,7), (7,10), (10,13), (2,5)])",True,False,,isomorphism,
2,planar,Planar,24,"(15, [(0,1), (0,2), (0,3), (0,4), (1,2), (2,3), (3,4), (4,1), (0,5), (1,6), (3,7), (2,8), (4,9), (5,10), (6,11), (7,12), (0,13), (2,14), (5,11), (6,13), (7,12), (8,14), (9,14)])",True,False,,isomorphism,
2,planar,Planar,26,"(15, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8), (8,9), (9,10), (10,11), (11,12), (12,13), (13,14), (14,0), (0,2), (0,4), (0,6), (0,8), (0,10), (0,12), (0,14), (1,3), (1,5)])",True,False,,isomorphism,
2,planar,Planar,27,"(15, [(0,1), (1,2), (2,3), (3,4), (4,0), (0,5), (1,6), (2,7), (3,8), (4,9), (5,10), (6,11), (7,12), (8,13), (9,14), (10,11), (11,12), (12,13), (13,14), (14,10), (5,6), (7,8), (9,10), (11,12)])",True,False,,isomorphism,
2,planar,Planar,28,"(15, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 0), (10, 0), (10, 1), (11, 2), (11, 3), (12, 4), (12, 5), (13, 6), (13, 7), (14, 8), (14, 9), (0, 4), (1, 5), (2, 6), ",True,False,,isomorphism,
2,planar,Planar,30,"(15, [(0,1), (1,2), (2,3), (3,4), (4,0), (0,5), (1,5), (2,5), (3,5), (4,5), (6,7), (7,8), (8,9), (9,10), (10,6), (0,6), (0,7), (0,8), (0,9), (0,10), (0,11), (1,11), (0,12), (1,12), (6,13), (7,13), (6,",True,False,,isomorphism,
