repeat,task_id,task_name,sample_id,raw_output,parse_success,is_valid,unique_key,unique_method,parse_failure_reason
1,cycle,Cycle,1,"(20, [(0,1), (1,2), (2,3), ..., (19,0), (19,0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
1,cycle,Cycle,2,"(20, [((0, 1), (1, 2), (2, 3), ..., (19, 0)), (19, 0)])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,cycle,Cycle,3,"(20, [
    (0, 1),
    (1, 2),
    (2, 3),
    ...
    (19, 19),
    (19, 0)
])",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：malformed node or string on line 5: <ast.Call object at 0x778c88a80520>"
1,cycle,Cycle,4,"(20, [((0, 1), (1, 2), (2, 3), ..., (19, 0)), ((19, 0))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,cycle,Cycle,5,"(20, [...])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,cycle,Cycle,7,"(20, [('0', '1'), ('0', '2'), ('1', '2'), ('1', '19'), ('2', '3'), ('2', '18'), ..., ('19', '18'), ('19', '0')])",False,False,,isomorphism,"第 7 条边不是二元组 `(u,v)`。"
1,cycle,Cycle,8,"(20, [
    (0, 1),
    (1, 2),
    (2, 3),
    ...
    (19, 0)
])",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：malformed node or string on line 5: <ast.Call object at 0x778c88a828c0>"
1,cycle,Cycle,9,"(20, [
    (0, 1),
    (1, 2),
    (2, 3),
    ...
    (19, 0),
])",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：malformed node or string on line 5: <ast.Call object at 0x778c88a82a40>"
1,cycle,Cycle,10,"(20, [(0, 1), (1, 2), (2, 3), ..., (19, 0)])",False,False,,isomorphism,"第 4 条边不是二元组 `(u,v)`。"
1,cycle,Cycle,12,"(20, [((0,1), (1,2), (2,3), ..., (19,0)), ((19,0), (0,19))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
