repeat,task_id,task_name,sample_id,raw_output,parse_success,is_valid,unique_key,unique_method,parse_failure_reason
3,tree,Tree,1,"(8, [(0,1), (0,2), (0,3), (1,4), (2,5), (3,6), (4,7)])",True,True,ef72178b7a1a1759663885bdd083eae0,isomorphism,
3,tree,Tree,2,"(0, [])",True,False,,isomorphism,
3,tree,Tree,3,"(8, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
3,tree,Tree,4,"(0, [('0', '1'), ('1', '2'), ('2', '3'), ('3', '4'), ('4', '5'), ('5', '6')])",False,False,,isomorphism,第 1 条边端点越界（节点范围应为 0..-1）。
3,tree,Tree,5,"(8, [('1', '0'), ('2', '1'), ('3', '2'), ('4', '3'), ('5', '4'), ('6', '5'), ('7', '6')])",True,True,653d67ad3d369bf2cd63d0027cde92ec,isomorphism,
3,tree,Tree,6,"(8, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7)])",True,True,653d67ad3d369bf2cd63d0027cde92ec,isomorphism,
3,tree,Tree,7,"(8, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 0)])",True,False,,isomorphism,
3,tree,Tree,8,"(8, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
3,tree,Tree,9,"(8, [(0,1), (0,2), (1,3), (1,4), (2,5), (2,6), (3,7)])",True,True,2e7001dcd306499fb6e11ddc4eac9068,isomorphism,
3,tree,Tree,10,"(8, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7)])",True,True,653d67ad3d369bf2cd63d0027cde92ec,isomorphism,
3,tree,Tree,11,"(8, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7)])",True,True,653d67ad3d369bf2cd63d0027cde92ec,isomorphism,
3,tree,Tree,12,"(8, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7)])",True,True,653d67ad3d369bf2cd63d0027cde92ec,isomorphism,
3,tree,Tree,13,"(8, [('0', '1'), ('1', '2'), ('2', '3'), ('3', '4'), ('4', '5'), ('5', '6'), ('6', '7')])",True,True,653d67ad3d369bf2cd63d0027cde92ec,isomorphism,
3,tree,Tree,14,"(8, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
3,tree,Tree,15,"(8, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7)])",True,True,653d67ad3d369bf2cd63d0027cde92ec,isomorphism,
3,tree,Tree,16,"(8, [7])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
3,tree,Tree,17,"(8, [('0', '1'), ('1', '2'), ('2', '3'), ('3', '4'), ('4', '5'), ('5', '6'), ('6', '7'), ('7', '8')])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
