task_id,task_name,sample_id,raw_output,parse_success,is_valid,signature,parse_failure_reason
tree,Tree,4,"(5, [(0,1),(1,2),(2,0),(3,4)])",True,False,,
tree,Tree,5,bad-output,False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：malformed node or string on line 1: <ast.Name object at 0x00000265CA25E8D0>"
cycle,Cycle,3,"(6, [(0,1),(1,2),(2,3),(3,4),(4,5)])",True,False,,
cycle,Cycle,5,oops,False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：malformed node or string on line 1: <ast.Name object at 0x00000265CA25EC90>"
cycle,Cycle,6,"(6, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,0),(0,2)])",True,False,,
planar,Planar,2,"(5, [(0,1),(0,2),(0,3),(0,4),(1,2),(1,3),(1,4),(2,3),(2,4),(3,4)])",True,False,,
planar,Planar,3,"(6, [(0,3),(0,4),(0,5),(1,3),(1,4),(1,5),(2,3),(2,4),(2,5)])",True,False,,
planar,Planar,5,planar???,False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：invalid syntax (<unknown>, line 1)"
components,#Components,2,"(6, [(0,1),(1,2),(2,3),(3,4),(4,5)])",True,False,,
components,#Components,3,"(6, [(0,1),(2,3)])",True,False,,
components,#Components,5,bad components,False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：invalid syntax (<unknown>, line 1)"
k_regular,k-regular,3,"(6, [(0,1),(1,2),(2,3),(3,4),(4,5)])",True,False,,
k_regular,k-regular,5,reg,False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：malformed node or string on line 1: <ast.Name object at 0x00000265CA275050>"
wheel,Wheel,3,"(6, [(0,1),(0,2),(0,3),(0,4),(0,5),(1,2),(2,3),(3,4),(4,5)])",True,False,,
wheel,Wheel,4,"(6, [(0,1),(0,2),(0,3),(0,4),(0,5)])",True,False,,
wheel,Wheel,5,wheel,False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：malformed node or string on line 1: <ast.Name object at 0x00000265CA275A90>"
bipartite,Bipartite,2,"(5, [(0,1),(1,2),(2,3),(3,4),(4,0)])",True,False,,
bipartite,Bipartite,5,bipartite,False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：malformed node or string on line 1: <ast.Name object at 0x00000265CA277D50>"
bipartite,Bipartite,6,"(4, [(0,1),(0,2),(0,3),(1,2),(1,3),(2,3)])",True,False,,
k_coloring,k-coloring,2,"(4, [(0,1),(0,2),(0,3),(1,2),(1,3),(2,3)])",True,False,,
k_coloring,k-coloring,5,kcolor,False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：malformed node or string on line 1: <ast.Name object at 0x00000265CA27DCD0>"
