task_id,task_name,sample_id,raw_output,parse_success,judge_success,judge_positive,parse_failure_reason,judge_failure_reason
trees_or_cycles,Trees-or-cycles,1,"(5, [(0,1),(1,2),(2,3),(3,4)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,2,"(6, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,0)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,3,"(5, [(0,1),(1,2),(2,0),(2,3)])",True,True,False,,
trees_or_cycles,Trees-or-cycles,4,bad-output,False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：malformed node or string on line 1: <ast.Name object at 0x000001A680983590>",
trees_or_cycles,Trees-or-cycles,5,"(4, [(0,1),(1,2),(2,3)])",True,True,True,,
trees_or_cycles,Trees-or-cycles,6,"(6, [(0,1),(1,2),(3,4),(4,5)])",True,True,False,,
union_of_components,Union-of-components,1,"(6, [(0,1),(1,2),(3,4),(4,5)])",True,True,True,,
union_of_components,Union-of-components,2,"(6, [(0,1),(1,2),(2,0),(3,4),(4,5),(5,3)])",True,True,True,,
union_of_components,Union-of-components,3,"(6, [(0,1),(1,2),(2,3),(3,4),(4,5)])",True,True,False,,
union_of_components,Union-of-components,4,"(6, [(0,1),(1,2),(2,0),(3,4)])",True,True,True,,
union_of_components,Union-of-components,5,component-bad,False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：malformed node or string on line 1: <ast.Name object at 0x000001A68098C590>",
union_of_components,Union-of-components,6,"(7, [(0,1),(1,2),(2,3),(3,0),(4,5),(5,6)])",True,True,True,,
motif,Motif,1,"(5, [(0,1),(1,2),(2,0),(2,3)])",True,True,True,,
motif,Motif,2,"(5, [(0,1),(1,2),(2,3),(3,4)])",True,True,False,,
motif,Motif,3,"(6, [(0,1),(1,2),(2,0),(3,4),(4,5)])",True,True,True,,
motif,Motif,4,"(60, [(0,1)])",True,False,,,图规模超过 motif 匹配上限（n > 40），本次判别中止。
motif,Motif,5,motif-bad,False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：malformed node or string on line 1: <ast.Name object at 0x000001A68098E7D0>",
motif,Motif,6,"(4, [(0,1),(1,2),(2,0),(0,3)])",True,True,True,,
