sample_id,raw_output,is_valid,canonical_smiles,parse_failure_reason,classifier_score,classifier_positive,is_novel_vs_train,mol_weight,logp,num_h_donors,num_h_acceptors
1,"Sure, here are 50 new molecules that are likely to inhibit HIV replication, represented in SMILES notation:",False,,RDKit 无法解析该 SMILES。,,,,,,,
2,CCN(CC)CC,True,CCN(CC)CC,,0.002598,0,True,101.193,1.3481,0,1
3,CCOC(=O)N1CCN(CC1)C,True,CCOC(=O)N1CCN(C)CC1,,0.000132,0,True,172.22799999999998,0.3903000000000001,0,3
4,c1ccncc1,True,c1ccncc1,,0.004788,0,True,79.10199999999998,1.0816,0,1
5,c1ccccc1N,True,Nc1ccccc1,,0.000376,0,True,93.12899999999999,1.2688000000000001,1,1
6,CCN1CCN(CC1)C(=O)C,True,CCN1CCN(C(C)=O)CC1,,0.000048,0,True,156.22899999999998,0.17039999999999988,0,2
7,N(C)C(=O)N1CCN(CC1)C,True,CNC(=O)N1CCN(C)CC1,,0.000110,0,True,157.21699999999998,-0.42680000000000007,1,2
8,c1ccc(cc1)N,True,Nc1ccccc1,,0.000376,0,True,93.12899999999999,1.2688000000000001,1,1
9,C(=O)N1CCN(CC1)C,True,CN1CCN(C=O)CC1,,0.000106,0,True,128.17499999999998,-0.6097999999999999,0,2
10,CCN(C)C(=O)N1CCN(CC1)C,True,CCN(C)C(=O)N1CCN(C)CC1,,0.000111,0,True,185.27099999999996,0.3055000000000001,0,2
11,C(=O)N1CCN(CC1)C,True,CN1CCN(C=O)CC1,,0.000106,0,True,128.17499999999998,-0.6097999999999999,0,2
12,N(C)C(=O)C(=O)N1CCN(CC1)C,True,CNC(=O)C(=O)N1CCN(C)CC1,,0.000143,0,True,185.22699999999998,-1.4935999999999983,1,3
13,c1ccc(cc1)N,True,Nc1ccccc1,,0.000376,0,True,93.12899999999999,1.2688000000000001,1,1
14,CCN(C)C(=O)C(=O)N1CCN(CC1)C,True,CCN(C)C(=O)C(=O)N1CCN(C)CC1,,0.000297,0,True,213.28099999999992,-0.7612999999999983,0,3
15,C(=O)N1CCN(CC1)C,True,CN1CCN(C=O)CC1,,0.000106,0,True,128.17499999999998,-0.6097999999999999,0,2
16,N(C)C(=O)N1CCN(CC1)C,True,CNC(=O)N1CCN(C)CC1,,0.000110,0,True,157.21699999999998,-0.42680000000000007,1,2
17,c1ccc(cc1)N,True,Nc1ccccc1,,0.000376,0,True,93.12899999999999,1.2688000000000001,1,1
18,CCN(C)C(=O)N1CCN(CC1)C,True,CCN(C)C(=O)N1CCN(C)CC1,,0.000111,0,True,185.27099999999996,0.3055000000000001,0,2
19,C(=O)N1CCN(CC1)C,True,CN1CCN(C=O)CC1,,0.000106,0,True,128.17499999999998,-0.6097999999999999,0,2
20,N(C)C(=O)C(=O)N1CCN(CC1)C,True,CNC(=O)C(=O)N1CCN(C)CC1,,0.000143,0,True,185.22699999999998,-1.4935999999999983,1,3
21,c1ccc(cc1)N,True,Nc1ccccc1,,0.000376,0,True,93.12899999999999,1.2688000000000001,1,1
22,CCN(C)C(=O)C(=O)N1CCN(CC1)C,True,CCN(C)C(=O)C(=O)N1CCN(C)CC1,,0.000297,0,True,213.28099999999992,-0.7612999999999983,0,3
23,C(=O)N1CCN(CC1)C,True,CN1CCN(C=O)CC1,,0.000106,0,True,128.17499999999998,-0.6097999999999999,0,2
24,N(C)C(=O)N1CCN(CC1)C,True,CNC(=O)N1CCN(C)CC1,,0.000110,0,True,157.21699999999998,-0.42680000000000007,1,2
25,c1ccc(cc1)N,True,Nc1ccccc1,,0.000376,0,True,93.12899999999999,1.2688000000000001,1,1
26,CCN(C)C(=O)N1CCN(CC1)C,True,CCN(C)C(=O)N1CCN(C)CC1,,0.000111,0,True,185.27099999999996,0.3055000000000001,0,2
27,C(=O)N1CCN(CC1)C,True,CN1CCN(C=O)CC1,,0.000106,0,True,128.17499999999998,-0.6097999999999999,0,2
28,N(C)C(=O)C(=O)N1CCN(CC1)C,True,CNC(=O)C(=O)N1CCN(C)CC1,,0.000143,0,True,185.22699999999998,-1.4935999999999983,1,3
29,c1ccc(cc1)N,True,Nc1ccccc1,,0.000376,0,True,93.12899999999999,1.2688000000000001,1,1
30,CCN(C)C(=O)C(=O)N1CCN(CC1)C,True,CCN(C)C(=O)C(=O)N1CCN(C)CC1,,0.000297,0,True,213.28099999999992,-0.7612999999999983,0,3
31,C(=O)N1CCN(CC1)C,True,CN1CCN(C=O)CC1,,0.000106,0,True,128.17499999999998,-0.6097999999999999,0,2
32,N(C)C(=O)N1CCN(CC1)C,True,CNC(=O)N1CCN(C)CC1,,0.000110,0,True,157.21699999999998,-0.42680000000000007,1,2
33,c1ccc(cc1)N,True,Nc1ccccc1,,0.000376,0,True,93.12899999999999,1.2688000000000001,1,1
34,CCN(C)C(=O)N1CCN(CC1)C,True,CCN(C)C(=O)N1CCN(C)CC1,,0.000111,0,True,185.27099999999996,0.3055000000000001,0,2
35,C(=O)N1CCN(CC1)C,True,CN1CCN(C=O)CC1,,0.000106,0,True,128.17499999999998,-0.6097999999999999,0,2
36,N(C)C(=O)C(=O)N1CCN(CC1)C,True,CNC(=O)C(=O)N1CCN(C)CC1,,0.000143,0,True,185.22699999999998,-1.4935999999999983,1,3
37,c1ccc(cc1)N,True,Nc1ccccc1,,0.000376,0,True,93.12899999999999,1.2688000000000001,1,1
38,CCN(C)C(=O)C(=O)N1CCN(CC1)C,True,CCN(C)C(=O)C(=O)N1CCN(C)CC1,,0.000297,0,True,213.28099999999992,-0.7612999999999983,0,3
39,C(=O)N1CCN(CC1)C,True,CN1CCN(C=O)CC1,,0.000106,0,True,128.17499999999998,-0.6097999999999999,0,2
40,N(C)C(=O)N1CCN(CC1)C,True,CNC(=O)N1CCN(C)CC1,,0.000110,0,True,157.21699999999998,-0.42680000000000007,1,2
41,c1ccc(cc1)N,True,Nc1ccccc1,,0.000376,0,True,93.12899999999999,1.2688000000000001,1,1
42,CCN(C)C(=O)N1CCN(CC1)C,True,CCN(C)C(=O)N1CCN(C)CC1,,0.000111,0,True,185.27099999999996,0.3055000000000001,0,2
43,C(=O)N1CCN(CC1)C,True,CN1CCN(C=O)CC1,,0.000106,0,True,128.17499999999998,-0.6097999999999999,0,2
44,N(C)C(=O)C(=O)N1CCN(CC1)C,True,CNC(=O)C(=O)N1CCN(C)CC1,,0.000143,0,True,185.22699999999998,-1.4935999999999983,1,3
45,c1ccc(cc1)N,True,Nc1ccccc1,,0.000376,0,True,93.12899999999999,1.2688000000000001,1,1
46,CCN(C)C(=O)C(=O)N1CCN(CC1)C,True,CCN(C)C(=O)C(=O)N1CCN(C)CC1,,0.000297,0,True,213.28099999999992,-0.7612999999999983,0,3
47,C(=O)N1CCN(CC1)C,True,CN1CCN(C=O)CC1,,0.000106,0,True,128.17499999999998,-0.6097999999999999,0,2
48,N(C)C(=O)N1CCN(CC1)C,True,CNC(=O)N1CCN(C)CC1,,0.000110,0,True,157.21699999999998,-0.42680000000000007,1,2
