repeat,task_id,task_name,sample_id,raw_output,parse_success,is_valid,unique_key,unique_method,parse_failure_reason
1,tree,Tree,1,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,3,"(8, [((0,1), (1,2)), ((0,2), (2,3)), ((1,3), (3,4)), ((1,4), (4,5)), ((2,3), (3,6)), ((3,4), (4,7)), ((3,5), (5,6)), ((4,5), (5,7))])",False,False,,isomorphism,第 1 条边包含非整数端点。
1,tree,Tree,4,"(8, [((0,1), (1,2), (2,3)), ((4,5), (5,6), (6,7))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,tree,Tree,5,"Sure! Here is the tree graph with 8 nodes as requested:

(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8))]",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ')' does not match opening parenthesis '[' (<unknown>, line 3)"
1,tree,Tree,6,"(8, [((0,1), (1,2), (2,3)), ((0,4), (1,5), (2,6)), ((3,4), (4,5), (5,6))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,tree,Tree,8,"Sure! Here is the tree graph with 8 nodes as requested:

(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8))]",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ')' does not match opening parenthesis '[' (<unknown>, line 3)"
1,tree,Tree,9,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,11,"(8, [((0,1), (1,2), (2,3)), ((0,4), (1,5), (4,7)), ((3,6), (6,7))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,tree,Tree,12,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,13,"(8, [(""0"", ""1""), (""0"", ""2""), (""1"", ""3""), (""1"", ""4""), (""2"", ""3""), (""2"", ""5""), (""3"", ""4""), (""3"", ""6"")])",True,False,,isomorphism,
1,tree,Tree,15,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,16,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,17,"(8, [((0,1), (1,2)), ((0,2), (2,3)), ((1,3), (3,4)), ((1,4), (4,5)), ((2,5), (5,6))])",False,False,,isomorphism,第 1 条边包含非整数端点。
1,tree,Tree,18,"(8, [(0,1),(0,2),(0,3),(1,4),(1,5),(2,6),(3,7),(4,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,19,"(8, [((0,1), (1,2), (2,3)), ((0,4), (1,5), (4,7)), ((3,6), (6,7))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,tree,Tree,20,"(8, [((0,1), (1,2), (2,3)), ((0,4), (1,5), (4,7)), ((3,6), (6,7))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,tree,Tree,21,"(8, [((0,1), (1,2), (2,3)), ((0,4), (1,5), (4,7))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,tree,Tree,24,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,25,"(8, [((0,1), (1,2)), ((0,2), (2,3)), ((1,3), (3,4)), ((1,4), (4,5)), ((2,5), (5,6))])",False,False,,isomorphism,第 1 条边包含非整数端点。
1,tree,Tree,26,"(8, [('0', '1'), ('0', '2'), ('0', '3'), ('1', '4'), ('1', '5'), ('2', '3'), ('3', '4'), ('3', '5')])",True,False,,isomorphism,
1,tree,Tree,27,"(8, [(0,1),(0,2),(0,3),(1,4),(1,5),(2,6),(3,7),(4,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,29,"(8, [((0,1), (1,2), (2,3)), ((4,5), (5,6), (6,7))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,tree,Tree,31,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,32,"(8, [(0,1),(0,2),(0,3),(1,4),(1,5),(2,6),(3,7),(4,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,34,"(8, [((0,1), (1,2)), ((0,2), (2,3)), ((1,3), (3,4)), ((2,4), (4,5)), ((3,5), (5,6))])",False,False,,isomorphism,第 1 条边包含非整数端点。
1,tree,Tree,35,"(8, [(0,1),(0,2),(0,3),(1,4),(1,5),(2,6),(3,7),(4,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,37,"(8, [((0,1), (1,2), (2,3)), ((0,4), (1,5), (4,7)), ((2,6), (3,7), (6,8))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,tree,Tree,38,"(8, [((0,1), (1,2), (2,3)), ((0,4), (1,5), (2,6))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,tree,Tree,40,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,41,"(8, [(0,1),(0,2),(0,3),(1,4),(1,5)])",True,False,,isomorphism,
1,tree,Tree,43,"(8, [((0,1), (1,2), (2,3)), ((0,4), (1,5), (4,7)), ((3,6), (6,7))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,tree,Tree,45,"(8, [('0', '1'), ('0', '2'), ('0', '3'), ('1', '4'), ('1', '5'), ('2', '3'), ('2', '6'), ('3', '4'), ('3', '5'), ('4', '5'), ('5', '6'), ('6', '7')])",True,False,,isomorphism,
1,tree,Tree,46,"(8, [((0,1), (1,2), (2,3)), ((4,5), (5,6), (6,7)), ((0,4), (1,5), (2,6))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,tree,Tree,47,"(8, [(0,1),(0,2),(0,3),(1,4),(1,5),(2,6),(3,7),(4,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,48,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(0,6),(1,6),(2,6)])",True,False,,isomorphism,
1,tree,Tree,49,"(8, [(""0"", ""1""), (""0"", ""2""), (""1"", ""3""), (""1"", ""4""), (""2"", ""3""), (""2"", ""5""), (""3"", ""4""), (""3"", ""6"")])",True,False,,isomorphism,
1,tree,Tree,50,"(8, [((0,1), (1,2), (2,3)), ((0,4), (1,5), (4,7)), ((3,6), (6,7))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,tree,Tree,52,"(8, [((0,1), (1,2)), ((0,2), (2,3)), ((1,2), (2,4)), ((1,3), (3,4)), ((2,3), (3,5)), ((2,4), (4,5)), ((3,4), (4,6)), ((3,5), (5,6))])",False,False,,isomorphism,第 1 条边包含非整数端点。
1,tree,Tree,53,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,55,"(8, [((0,1), (1,2), (2,3)), ((0,4), (1,5), (4,7)), ((2,6), (3,7), (6,8))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,tree,Tree,57,"(8, [((0,1), (1,2)), ((0,2), (2,3)), ((1,3), (3,4)), ((2,4), (4,5)), ((3,5), (5,6))])",False,False,,isomorphism,第 1 条边包含非整数端点。
1,tree,Tree,59,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,0)])",True,False,,isomorphism,
1,tree,Tree,60,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,63,"(8, [((0,1), (1,2), (2,3)), ((4,5), (5,6), (6,7))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,tree,Tree,64,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,65,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,66,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,67,"(8, [((0,1), (1,2)), ((0,2), (2,3)), ((1,2), (2,4)), ((1,3), (3,4)), ((2,3), (3,5)), ((2,4), (4,5)), ((3,4), (4,6)), ((3,5), (5,6))])",False,False,,isomorphism,第 1 条边包含非整数端点。
1,tree,Tree,68,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,70,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,72,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,73,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,74,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,75,"(8, [(0,1),(0,2),(0,3),(1,4),(1,5)])",True,False,,isomorphism,
1,tree,Tree,76,"(8, [(""0"", ""1""), (""0"", ""2""), (""1"", ""3""), (""1"", ""4""), (""2"", ""3""), (""2"", ""5""), (""3"", ""4""), (""3"", ""6"")])",True,False,,isomorphism,
1,tree,Tree,79,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,81,"(8, [('0', '1'), ('0', '2'), ('0', '3'), ('1', '4'), ('1', '5'), ('2', '3'), ('2', '6'), ('3', '4')])",True,False,,isomorphism,
1,tree,Tree,82,"(8, [(0,1),(0,2),(0,3),(1,4),(1,5),(2,6),(3,7),(4,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,83,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,84,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,85,"(8, [((0,1), (1,2), (2,3)), ((0,4), (1,5), (4,7)), ((3,6), (6,7))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,tree,Tree,87,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,88,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,89,"(8, [((0,1), (1,2), (2,3)), ((0,4), (1,5), (2,6))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,tree,Tree,90,"(8, [((0,1), (1,2)), ((0,2), (2,3)), ((1,3), (3,4)), ((2,4), (4,5)), ((3,5), (5,6))])",False,False,,isomorphism,第 1 条边包含非整数端点。
1,tree,Tree,91,"(8, [(""0"", ""1""), (""0"", ""2""), (""1"", ""3""), (""1"", ""4""), (""2"", ""3""), (""2"", ""5""), (""3"", ""4""), (""3"", ""6"")])",True,False,,isomorphism,
1,tree,Tree,94,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,0)])",True,False,,isomorphism,
1,tree,Tree,95,"(8, [(""0"", ""1""), (""0"", ""2""), (""1"", ""3""), (""1"", ""4""), (""2"", ""3""), (""2"", ""5""), (""3"", ""4""), (""3"", ""6"")])",True,False,,isomorphism,
1,tree,Tree,96,"(8, [((0,1), (1,2)), ((0,2), (2,3)), ((1,3), (3,4)), ((2,4), (4,5)), ((3,5), (5,6))])",False,False,,isomorphism,第 1 条边包含非整数端点。
1,tree,Tree,97,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,98,"(8, [(""0"", ""1""), (""0"", ""2""), (""1"", ""3""), (""1"", ""4""), (""2"", ""3""), (""2"", ""5""), (""3"", ""4""), (""3"", ""6"")])",True,False,,isomorphism,
1,tree,Tree,100,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,planar,Planar,1,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,0)])",True,False,,isomorphism,
1,planar,Planar,2,"(8, [
    (0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,0)
])",True,False,,isomorphism,
1,planar,Planar,3,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,0)])",True,False,,isomorphism,
1,planar,Planar,4,"(8, [
    (0,1), (0,2), (0,3), (0,4), (0,5), (0,6), (1,2), (1,3), (1,4), (2,3), (2,4), (2,5), (3,4), (3,5), (4,5), (5,6)
])",True,False,,isomorphism,
1,planar,Planar,5,"Sure! Here is a planar graph with 8 nodes and 24 edges:

(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,0),(0,7),(1,7),(2,7),(3,7),(4,7),(5,8),(6,8),(7,8),(8,0))]",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ')' does not match opening parenthesis '[' (<unknown>, line 3)"
1,planar,Planar,6,"Sure! Here is a planar graph with 8 nodes and 24 edges in the format you requested:

(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,0),(0,7),(1,7),(2,7),(3,7),(4,7),(5,8),(6,8),(7,8),(8,0))]",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ')' does not match opening parenthesis '[' (<unknown>, line 3)"
1,planar,Planar,7,"(8, [((0,1),(1,2)), ((1,2),(2,3)), ((2,3),(3,4)), ((3,4),(4,5)), ((4,5),(5,6)), ((5,6),(6,7)), ((6,7),(7,0)), ((7,0),(0,1))])",False,False,,isomorphism,第 1 条边包含非整数端点。
1,planar,Planar,8,"(8, [((0,1),(1,2)),((1,2),(2,3)),((2,3),(3,4)),((3,4),(4,5)),((4,5),(5,6)),((5,6),(6,0)),((6,0),(0,7)),((0,7),(7,1))])",False,False,,isomorphism,第 1 条边包含非整数端点。
1,planar,Planar,9,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,0)])",True,False,,isomorphism,
1,planar,Planar,10,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,0)])",True,False,,isomorphism,
1,planar,Planar,11,"(8, [((0,1), (1,2)), ((0,1), (1,3)), ((0,2), (2,3)), ((0,2), (2,4)), ((0,3), (3,4)), ((0,3), (3,5)), ((0,4), (4,5)), ((0,5), (5,3))])",False,False,,isomorphism,第 1 条边包含非整数端点。
1,planar,Planar,12,"(8, [((0,1), (1,2), (2,3)), ((0,4), (4,5), (5,3)), ((0,6), (6,7), (7,0)), ((1,6), (6,8), (8,1)), ((2,6), (6,7), (7,2)), ((3,5), (5,4), (4,3)), ((4,7), (7,8), (8,4)), ((5,7), (7,8), (8,5))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,planar,Planar,13,"(8, [((0,1), (1,2), (2,3)), ((0,4), (4,5), (5,3)), ((0,2), (2,4), (4,0))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,planar,Planar,14,"(8, [
    (0,1), (0,2), (0,3), (0,4), (0,5), (0,6), (1,2), (1,3), (1,4), (2,3), (2,4), (2,5), (3,4), (3,5), (4,5), (4,6), (5,6)
])",True,False,,isomorphism,
1,planar,Planar,15,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,0)])",True,False,,isomorphism,
1,planar,Planar,16,"(8, [
  (0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,0)
])",True,False,,isomorphism,
1,planar,Planar,17,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,0)])",True,False,,isomorphism,
1,planar,Planar,18,"(8, [((0,1), (1,2), (2,3)), ((0,4), (4,5), (5,3)), ((0,6), (6,7), (7,0))])",False,False,,isomorphism,"第 1 条边不是二元组 `(u,v)`。"
1,planar,Planar,19,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,0)])",True,False,,isomorphism,
1,planar,Planar,20,"(8, [((0,1), (1,2)), ((1,2), (2,3)), ((2,3), (3,4)), ((3,4), (4,5)), ((4,5), (5,6)), ((5,6), (6,0)), ((6,0), (0,7)), ((0,7), (7,1))])",False,False,,isomorphism,第 1 条边包含非整数端点。
1,planar,Planar,21,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,0)])",True,False,,isomorphism,
1,planar,Planar,22,"Sure! Here is a planar graph with 8 nodes and 24 edges in the format you requested:

(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,0),(0,7),(1,7),(2,7),(3,7),(4,7),(5,7),(6,7),(7,0),(0,1),(1,2),(2,3),(3",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ')' does not match opening parenthesis '[' (<unknown>, line 3)"
1,planar,Planar,23,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,0)])",True,False,,isomorphism,
1,planar,Planar,24,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,0)])",True,False,,isomorphism,
1,planar,Planar,25,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,0)])",True,False,,isomorphism,
1,planar,Planar,26,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,0),(0,7),(1,7),(2,7),(3,7),(4,7),(5,8),(6,8),(7,8),(8,0)]])",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ']' does not match opening parenthesis '(' (<unknown>, line 1)"
1,planar,Planar,27,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,0),(0,7),(1,7),(2,7),(3,7),(4,7),(5,7),(6,7),(7,0),(7,1),(7,2),(7,3),(7,4),(7,5),(7,6),(7,7)])",True,False,,isomorphism,
1,planar,Planar,28,"Sure! Here is a planar graph with 8 nodes and 24 edges:

(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,0),(0,7),(1,7),(2,7),(3,7),(4,7),(5,7),(6,8),(7,8),(8,0))]",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ')' does not match opening parenthesis '[' (<unknown>, line 3)"
1,planar,Planar,29,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,0)])",True,False,,isomorphism,
1,planar,Planar,30,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,0)])",True,False,,isomorphism,
1,planar,Planar,31,"Sure! Here is a planar graph with 8 nodes and 24 edges:

(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,0),(0,7),(1,7),(2,7),(3,7),(4,7),(5,8),(6,8),(7,8),(8,0),(0,3),(1,3),(2,3),(3,4),(4,5),(5,6))]",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ')' does not match opening parenthesis '[' (<unknown>, line 3)"
1,planar,Planar,32,"(8, [((0,1),(1,2)),((0,2),(2,3)),((1,3),(3,4)),((2,4),(4,5)),((3,5),(5,0)),((4,0),(0,1)),((5,1),(1,0))])",False,False,,isomorphism,第 1 条边包含非整数端点。
1,planar,Planar,33,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,0)])",True,False,,isomorphism,
1,planar,Planar,34,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,0)])",True,False,,isomorphism,
1,planar,Planar,35,"Sure! Here is a planar graph with 8 nodes and 24 edges:

(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,0),(0,7),(1,7),(2,7),(3,7),(4,7),(5,8),(6,8),(7,8),(8,0))]",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ')' does not match opening parenthesis '[' (<unknown>, line 3)"
1,planar,Planar,36,"(8, [((0,1), (1,2)), ((0,2), (2,3)), ((1,3), (3,4)), ((2,4), (4,5)), ((3,5), (5,0)), ((4,0), (0,1)), ((5,1), (1,6)), ((0,6), (6,7))])",False,False,,isomorphism,第 1 条边包含非整数端点。
1,planar,Planar,37,"Sure! Here is a planar graph with 8 nodes and 24 edges:

(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,0),(0,7),(1,7),(2,7),(3,7),(4,7),(5,8),(6,8),(7,8),(8,0))]",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：closing parenthesis ')' does not match opening parenthesis '[' (<unknown>, line 3)"
1,planar,Planar,38,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,0)])",True,False,,isomorphism,
1,planar,Planar,39,"(8, [
  (0,1),
  (1,2),
  (2,3),
  (3,4),
  (4,5),
  (5,6),
  (6,7),
  (7,0)
])",True,False,,isomorphism,
1,planar,Planar,40,"(8, [((0,1), (1,2)), ((0,2), (2,3)), ((1,3), (3,4)), ((2,4), (4,5)), ((3,5), (5,0)), ((4,0), (0,1)), ((5,1), (1,0)), ((0,2), (2,4))])",False,False,,isomorphism,第 1 条边包含非整数端点。
