repeat,task_id,task_name,sample_id,raw_output,parse_success,is_valid,unique_key,unique_method,parse_failure_reason
1,tree,Tree,1,"(8, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7)])",True,True,653d67ad3d369bf2cd63d0027cde92ec,isomorphism,
1,tree,Tree,2,"(8, [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7)])",True,True,653d67ad3d369bf2cd63d0027cde92ec,isomorphism,
1,tree,Tree,3,"(8, [(0, 1), (0, 2), (0, 3), (1, 4), (2, 5), (3, 6)])",True,False,,isomorphism,
1,tree,Tree,4,"(8, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6)])",True,False,,isomorphism,
1,tree,Tree,5,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5)])",True,False,,isomorphism,
1,tree,Tree,6,"(8, [(0,1), (0,2), (0,3), (0,4), (1,2), (1,3), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8)])",False,False,,isomorphism,第 12 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,7,"(6, [(0,1),(0,2),(0,3),(1,4),(1,5)])",True,True,833c89e8aca800e5707fb47ea63f9088,isomorphism,
1,tree,Tree,8,"(6, [(0,1),(0,2),(0,3),(1,4),(1,5)])",True,True,833c89e8aca800e5707fb47ea63f9088,isomorphism,
1,tree,Tree,9,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7)])",True,True,653d67ad3d369bf2cd63d0027cde92ec,isomorphism,
1,tree,Tree,10,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7)])",True,True,653d67ad3d369bf2cd63d0027cde92ec,isomorphism,
1,tree,Tree,11,"(5, [(0,1),(1,2),(2,3),(3,4),(4,5)])",False,False,,isomorphism,第 5 条边端点越界（节点范围应为 0..4）。
1,tree,Tree,12,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7)])",True,True,653d67ad3d369bf2cd63d0027cde92ec,isomorphism,
1,tree,Tree,13,"(6, [(0,1), (1,2), (2,3), (3,4), (4,5)])",True,True,50803b752054f0512687e537ee7368f9,isomorphism,
1,tree,Tree,14,"(6, [(0,1),(0,2),(0,3),(1,4),(1,5)])",True,True,833c89e8aca800e5707fb47ea63f9088,isomorphism,
1,tree,Tree,15,"(0, [(0,1)], (1, [(1,2)], (2, [(2,3)], (3, [(3,4)], (4, [(4,5)], (5, [(5,6)], (6, [(6,7)])",False,False,,isomorphism,"格式错误，无法解析为 `(n, [(u,v), ...])`：'(' was never closed (<unknown>, line 1)"
1,tree,Tree,16,"(8, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7)])",True,True,653d67ad3d369bf2cd63d0027cde92ec,isomorphism,
1,tree,Tree,17,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7)])",True,True,653d67ad3d369bf2cd63d0027cde92ec,isomorphism,
1,tree,Tree,18,"(6, [(0,1),(0,2),(0,3),(1,4),(1,5)])",True,True,833c89e8aca800e5707fb47ea63f9088,isomorphism,
1,tree,Tree,19,"(8, [(0,1), (0,2), (0,3), (0,4), (0,5), (0,6), (1,2), (1,3), (1,4), (1,5)])",True,False,,isomorphism,
1,tree,Tree,20,"(6, [(0,1),(0,2),(0,3),(1,4),(1,5)])",True,True,833c89e8aca800e5707fb47ea63f9088,isomorphism,
1,tree,Tree,21,"(8, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7)])",True,True,653d67ad3d369bf2cd63d0027cde92ec,isomorphism,
1,tree,Tree,22,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7)])",True,True,653d67ad3d369bf2cd63d0027cde92ec,isomorphism,
1,tree,Tree,23,"(8, [(0,0),(1,0),(2,0),(3,1),(4,2),(5,3),(6,4),(7,5),(7,6)])",True,False,,isomorphism,
1,tree,Tree,24,"(6, [(0,1),(0,2),(0,3),(1,4),(1,5)])",True,True,833c89e8aca800e5707fb47ea63f9088,isomorphism,
1,tree,Tree,25,"(6, [(0,1),(0,2),(0,3),(1,4),(1,5)])",True,True,833c89e8aca800e5707fb47ea63f9088,isomorphism,
1,tree,Tree,26,"(8, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7)])",True,True,653d67ad3d369bf2cd63d0027cde92ec,isomorphism,
1,tree,Tree,27,"(6, [(0, 1), (0, 2), (0, 3), (1, 4), (1, 5)])",True,True,833c89e8aca800e5707fb47ea63f9088,isomorphism,
1,tree,Tree,28,"(8, [(0,1),(0,2),(0,3),(1,4),(1,5),(2,6),(3,7)])",True,True,d25563e624d9195ce94b1f768fdc503d,isomorphism,
1,tree,Tree,29,"(8, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,6),(6,7),(7,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,30,"(6, [(0,1),(0,2),(0,3),(1,4),(1,5)])",True,True,833c89e8aca800e5707fb47ea63f9088,isomorphism,
1,tree,Tree,31,"(8, [(0,1), (1,2), (2,3), (3,4), (4,5), (5,6), (6,7), (7,8)])",False,False,,isomorphism,第 8 条边端点越界（节点范围应为 0..7）。
1,tree,Tree,32,"(6, [(0,1),(1,2),(2,3),(3,4),(4,5),(5,0)])",True,False,,isomorphism,
1,tree,Tree,33,"(6, [(0,1),(0,2),(0,3),(1,4)])",True,False,,isomorphism,
1,tree,Tree,34,"(8, [(0,1),(0,2),(0,3),(1,4),(1,5),(2,6),(3,7)])",True,True,d25563e624d9195ce94b1f768fdc503d,isomorphism,
1,tree,Tree,35,"(8, [(0,1), (1,3), (2,4), (3,5), (4,6), (5,7)])",True,False,,isomorphism,
1,tree,Tree,36,"(6, [(0,1),(0,2),(0,3),(1,4),(1,5)])",True,True,833c89e8aca800e5707fb47ea63f9088,isomorphism,
