repeat,task_id,task_name,p_true,strategy,sample_id,raw_output,parse_success,judge_success,judge_positive,parse_failure_reason,judge_failure_reason
1,motif_triangle,Motif-Triangle,0.8,zero_shot,1,"(12, [(0,1),(0,2),(0,3),(0,4),(0,5),(0,6),(0,7),(0,8),(0,9),(1,2),(1,9),(2,3),(3,4),(3,10),(4,5),(5,6),(6,7),(7,8),(8,9),(10,11),(10,12),(10,13),(11,12),(12,13)])",False,False,,第 21 条边端点越界（节点范围应为 0..11）。,
2,union_of_components,Union-of-components,0.8,zero_shot,4,"(10, [(0,1), (0,2), (1,3), (2,3), (4,5), (4,6), (5,7), (6,7), (8,9), (8,10), (9,10)])",False,False,,第 10 条边端点越界（节点范围应为 0..9）。,
2,union_of_components,Union-of-components,0.8,zero_shot,5,"(10, [(0,1), (0,2), (1,2), (3,4), (3,5), (4,5), (6,7), (6,8), (7,8), (9,10), (9,11), (10,11)])",False,False,,第 10 条边端点越界（节点范围应为 0..9）。,
2,union_of_components,Union-of-components,0.8,zero_shot,6,"(10, [(0,1), (0,2), (1,3), (2,3), (4,5), (4,6), (5,7), (6,7), (8,9), (8,10), (9,10)])",False,False,,第 10 条边端点越界（节点范围应为 0..9）。,
2,union_of_components,Union-of-components,0.8,zero_shot,10,"(10, [(0,1), (0,2), (1,3), (2,3), (4,5), (4,6), (5,7), (6,7), (8,9), (8,10), (9,10)])",False,False,,第 10 条边端点越界（节点范围应为 0..9）。,
3,trees_or_cycles,Trees-or-cycles,0.8,zero_shot_cot,1,LLM_ERROR: The read operation timed out,False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：invalid syntax (<unknown>, line 1)",
1,union_of_components,Union-of-components,0.6,few_shot_cot,1,LLM_ERROR: The read operation timed out,False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：invalid syntax (<unknown>, line 1)",
1,motif_triangle,Motif-Triangle,0.4,few_shot_cot,4,"(12, [(0,1),(0,5),(1,2),(1,6),(2,3),(2,7),(3,4),(3,8),(4,9),(5,6),(6,7),(7,8),(8,9),(8,10),(10,11),(10,12),(10,13),(11,12),(12,13)])",False,False,,第 16 条边端点越界（节点范围应为 0..11）。,
2,union_of_components,Union-of-components,0.6,few_shot_cot,3,"(10, [(0,1),(0,2),(1,2),(3,4),(3,5),(4,5),(6,7),(6,8),(7,8),(9,10),(9,11),(10,11)])",False,False,,第 10 条边端点越界（节点范围应为 0..9）。,
2,union_of_components,Union-of-components,0.6,few_shot_cot,4,"(10, [(0,1),(0,2),(1,2),(3,4),(3,5),(4,5),(6,7),(6,8),(7,8),(9,10),(9,11),(10,11)])",False,False,,第 10 条边端点越界（节点范围应为 0..9）。,
2,union_of_components,Union-of-components,0.6,few_shot_cot,7,"(10, [(0,1),(0,2),(1,2),(3,4),(3,5),(4,5),(6,7),(6,8),(7,8),(9,10),(9,11),(10,11)])",False,False,,第 10 条边端点越界（节点范围应为 0..9）。,
2,union_of_components,Union-of-components,0.6,few_shot_cot,9,"(10, [(0,1),(0,2),(1,2),(3,4),(3,5),(4,5),(6,7),(6,8),(7,8),(9,10),(9,11),(10,11)])",False,False,,第 10 条边端点越界（节点范围应为 0..9）。,
3,motif_triangle,Motif-Triangle,0.6,few_shot_cot,1,LLM_ERROR: The read operation timed out,False,False,,"格式错误，无法解析为 `(n, [(u,v), ...])`：invalid syntax (<unknown>, line 1)",
